table,type,var,coltype
agric,personal,ag_head_name,text
agric,personal,ag_head_name_cpt,bytea
agric_field_season_individual,personal,ag_indid_name,text
agric_individual,personal,ag_indid_name,text
agric_field_season_individual,personal,ag_indid_name_cpt,bytea
agric_individual,personal,ag_indid_name_cpt,bytea
agric,spatial,eplot_no,text
household,spatial,eplot_no,text
processedsoils_farm,spatial,eplot_no,text
yields,spatial,eplot_no,text
yieldslab,spatial,eplot_no,text
agric_field,spatial,field_name,text
yields_field,spatial,field_name,text
agric_field,spatial,gps_lat,numeric
agric_field,spatial,gps_lat_cpt,bytea
agric_field,spatial,gps_long,numeric
agric_field,spatial,gps_long_cpt,bytea
yields_field,spatial,gpsne_lat,numeric
yields_field,spatial,gpsne_lat_cpt,bytea
yields_field,spatial,gpsne_long,numeric
yields_field,spatial,gpsne_long_cpt,bytea
household,personal,hh_head_name,text
household,personal,hh_head_name_cpt,bytea
household_individual,personal,hh_indid,text
household_individual,personal,hh_indid_cpt,bytea
agric,spatial,hh_no,text
household,spatial,hh_no,text
processedsoils_farm,spatial,hh_no,text
yields,spatial,hh_no,text
yieldslab,spatial,hh_no,text
yields,personal,yield_head_name,text
yields,personal,yield_head_name_cpt,bytea
farmsoils,spatial,hh_no,text
farmsoilslab,spatial,hh_no,text
farmsoils,spatial,eplot_no,text
farmsoilslab,spatial,eplot_no,text
